CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
54,0.2294197,0.25448833,0.16870416,0.05128205,0.30769231,1.0,0.00010609,0.07894737,2.46376812
55,0.30049261,0.39368421,0.04313725,0.0,0.4137931,1.0,2.273e-05,0.14285714,11.09090909
56,0.50909091,0.61832061,0.24324324,0.0,0.36363636,1.0,9.796e-05,0.3,1.55555556
57,0.36315789,0.47635135,0.09210526,0.05,0.4,1.0,4.193e-05,0.21052632,4.92857143
58,0.33666667,0.47320526,0.1440678,0.0,0.52,1.0,8.148e-05,0.20833333,2.97058824
59,0.71428571,0.70909091,0.31818182,0.14285714,0.28571429,1.0,0.0001197,0.5,1.07142857
60,0.41904762,0.43157895,0.12871287,0.0,0.4,1.0,5.189e-05,0.21428571,3.38461538
61,0.20634921,0.42279793,0.16398714,0.0,0.63888889,1.0,8.493e-05,0.11428571,2.54901961
62,0.26315789,0.29032258,0.4972067,0.15789474,0.21052632,0.94736842,0.00028054,0.16666667,0.50561798
63,0.27272727,0.36430424,0.01923077,0.0,0.26470588,1.0,1.058e-05,0.15151515,25.5
64,0.53030303,0.57589286,0.20454545,0.0,0.33333333,1.0,8.98e-05,0.27272727,1.94444444
65,0.25555556,0.26873857,0.10555556,0.0,0.25,1.0,6.328e-05,0.14285714,4.23684211
66,0.38095238,0.53620955,0.12568306,0.04761905,0.61904762,1.0,6.56e-05,0.15,3.47826087
67,0.28,0.40847201,0.24324324,0.0,0.4,1.0,0.00012941,0.125,1.55555556
68,0.49090909,0.55555556,0.15625,0.0,0.45454545,1.0,5.442e-05,0.3,2.7
69,0.4952381,0.51111111,0.13333333,0.0,0.4,1.0,6.387e-05,0.28571429,3.25
70,0.15245009,0.20725093,0.06493506,0.0,0.27586207,1.0,3.623e-05,0.07017544,7.2
71,0.18002323,0.35282776,0.04907975,0.0,0.33333333,1.0,2.285e-05,0.09756098,9.6875
72,0.28505747,0.38742566,0.24620061,0.06666667,0.53333333,1.0,0.00016181,0.17241379,1.5308642
73,0.20652174,0.36486486,0.11627907,0.04166667,0.20833333,0.95833333,3.744e-05,0.08695652,3.8
74,0.30574713,0.38511137,0.02564103,0.0,0.33333333,1.0,1.398e-05,0.17241379,19.0
75,0.48351648,0.55017301,0.37588652,0.14285714,0.42857143,1.0,0.00022666,0.30769231,0.83018868
76,0.35294118,0.59259259,0.17557252,0.11111111,0.44444444,1.0,7.652e-05,0.17647059,2.34782609
77,0.34502924,0.5257732,0.11940299,0.0,0.47368421,1.0,5.043e-05,0.22222222,3.6875
78,0.62121212,0.64664311,0.21153846,0.0,0.5,1.0,0.00010975,0.36363636,1.86363636
79,0.29365079,0.40056818,0.03896104,0.0,0.53571429,1.0,1.926e-05,0.14814815,12.33333333
80,0.63636364,0.63679245,0.39130435,0.27272727,0.45454545,1.0,0.00024489,0.4,0.77777778
81,0.53333333,0.62727273,0.12727273,0.0,0.2,1.0,4.19e-05,0.33333333,3.42857143
82,0.30788177,0.41043724,0.0530303,0.0,0.62068966,1.0,2.893e-05,0.17857143,8.92857143
83,0.31384615,0.40759494,0.03773585,0.0,0.34615385,1.0,1.844e-05,0.16,12.75
84,0.41052632,0.51428571,0.12359551,0.0,0.5,1.0,6.588e-05,0.21052632,3.54545455
85,0.17647059,0.18987342,0.42857143,0.29411765,0.11764706,0.47058824,0.00012681,0.125,0.66666667
86,0.42647059,0.54755784,0.10769231,0.0,0.64705882,1.0,4.932e-05,0.25,4.14285714
87,0.41052632,0.50518135,0.04294479,0.0,0.35,1.0,2.096e-05,0.21052632,11.14285714
88,0.34761905,0.37883959,0.07594937,0.0,0.47619048,1.0,3.423e-05,0.2,6.08333333
89,0.4248366,0.50568182,0.16666667,0.0,0.5,1.0,8.65e-05,0.23529412,2.5
90,0.53030303,0.56422018,0.1025641,0.0,0.33333333,1.0,3.991e-05,0.27272727,4.375
91,0.31623932,0.40664962,0.21830986,0.07407407,0.40740741,1.0,0.00013759,0.19230769,1.79032258
92,0.2405303,0.38608696,0.13898305,0.03030303,0.54545455,1.0,7.447e-05,0.125,3.09756098
93,0.63636364,0.64981949,0.19230769,0.08333333,0.5,1.0,9.978e-05,0.45454545,2.1
94,0.24338624,0.35673352,0.21030043,0.10714286,0.35714286,1.0,0.00010487,0.14814815,1.87755102
95,0.6,0.68108108,0.175,0.0,0.45454545,1.0,7.619e-05,0.3,2.35714286
96,0.38947368,0.48319328,0.01333333,0.0,0.35,1.0,5.99e-06,0.21052632,37.0
97,0.28571429,0.2,0.11111111,0.0,0.0,0.375,1.496e-05,0.14285714,4.0
98,0.33230769,0.43823264,0.09623431,0.0,0.38461538,1.0,5.3e-05,0.2,4.69565217
99,0.28325123,0.42265193,0.02542373,0.0,0.5862069,1.0,1.24e-05,0.14285714,19.16666667
100,0.35177866,0.48350254,0.18721461,0.04347826,0.52173913,1.0,0.00010679,0.18181818,2.17073171
101,0.4,0.46938776,0.17647059,0.04761905,0.52380952,1.0,0.00010268,0.2,2.33333333
102,0.29239766,0.34883721,0.36305732,0.05263158,0.26315789,0.94736842,0.00017967,0.16666667,0.87719298
103,0.41758242,0.46692607,0.07317073,0.0,0.28571429,1.0,2.566e-05,0.23076923,6.33333333
104,0.31428571,0.36290323,0.16455696,0.0,0.26666667,0.86666667,5.189e-05,0.14285714,2.53846154
105,0.375,0.46530612,0.1588785,0.0625,0.4375,1.0,6.362e-05,0.2,2.64705882
106,0.37894737,0.43612335,0.02040816,0.0,0.3,1.0,8.98e-06,0.21052632,24.0
107,0.52777778,0.61643836,0.41538462,0.11111111,0.22222222,1.0,0.00017957,0.375,0.7037037
108,0.475,0.58520179,0.16788321,0.0,0.5625,1.0,8.608e-05,0.26666667,2.47826087
109,0.3047619,0.432,0.20987654,0.0,0.13333333,1.0,6.786e-05,0.21428571,1.88235294
110,0.40659341,0.46733668,0.25252525,0.07142857,0.35714286,1.0,0.00010692,0.15384615,1.48
111,0.49450549,0.58609272,0.47368421,0.21428571,0.42857143,1.0,0.00034641,0.23076923,0.55555556
112,0.33809524,0.60526316,0.34259259,0.19047619,0.61904762,1.0,0.00021107,0.2,0.95945946
113,0.39047619,0.46666667,0.2038835,0.0,0.26666667,1.0,8.383e-05,0.14285714,1.95238095
114,0.32971014,0.42331288,0.08542714,0.0,0.45833333,1.0,4.244e-05,0.17391304,5.35294118
115,0.20782726,0.32059448,0.0694864,0.0,0.58974359,1.0,3.536e-05,0.10526316,6.69565217
116,0.4619883,0.51710526,0.15053763,0.0,0.42105263,1.0,8.826e-05,0.27777778,2.82142857
117,0.23885918,0.34625551,0.13826367,0.05882353,0.64705882,1.0,7.581e-05,0.12121212,3.11627907
118,0.53846154,0.58029197,0.24324324,0.0,0.46153846,1.0,0.00012434,0.33333333,1.55555556
119,0.34666667,0.41114058,0.15102041,0.08,0.32,1.0,8.867e-05,0.125,2.81081081
120,0.49019608,0.57065217,0.10714286,0.0,0.38888889,1.0,5.989e-05,0.29411765,4.16666667
121,0.54545455,0.52358491,0.23404255,0.0,0.5,1.0,0.00010975,0.27272727,1.63636364
122,0.3,0.4725,0.10638298,0.0,0.38095238,1.0,4.278e-05,0.15,4.2
123,0.30541872,0.44802343,0.008,0.0,0.37931034,1.0,4.13e-06,0.17857143,62.0
124,0.53030303,0.53030303,0.23913043,0.08333333,0.5,1.0,0.00010975,0.27272727,1.59090909
125,0.33766234,0.41166381,0.13333333,0.0,0.59090909,1.0,6.535e-05,0.19047619,3.25
126,0.36315789,0.46706587,0.15337423,0.0,0.5,1.0,7.487e-05,0.21052632,2.76
127,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
128,0.41520468,0.5106383,0.12345679,0.0,0.52631579,1.0,6.304e-05,0.22222222,3.55
129,0.39705882,0.52336449,0.06896552,0.0,0.52941176,1.0,2.818e-05,0.25,6.75
130,0.33766234,0.36702128,0.13812155,0.0,0.68181818,1.0,6.807e-05,0.19047619,3.12
131,0.47058824,0.47694754,0.44401544,0.16666667,0.44444444,1.0,0.00038261,0.29411765,0.62608696
132,0.36363636,0.51395939,0.01754386,0.0,0.40909091,1.0,8.17e-06,0.19047619,28.0
133,0.32857143,0.4137931,0.18823529,0.04761905,0.42857143,1.0,9.127e-05,0.15,2.15625
134,0.36363636,0.44736842,0.2,0.08333333,0.16666667,0.83333333,5.987e-05,0.18181818,2.0
135,0.41904762,0.47674419,0.08333333,0.0,0.4,1.0,3.193e-05,0.21428571,5.5
136,0.32411067,0.4,0.04651163,0.0,0.43478261,1.0,2.084e-05,0.18181818,10.25
137,0.57692308,0.62,0.21052632,0.0,0.76923077,1.0,0.00011053,0.33333333,1.875
138,0.375,0.52522255,0.13559322,0.0,0.29411765,1.0,5.636e-05,0.1875,3.1875
139,0.58974359,0.6873065,0.12380952,0.0,0.61538462,1.0,5.987e-05,0.25,3.53846154
140,0.59090909,0.61802575,0.21212121,0.0,0.66666667,1.0,0.00010477,0.36363636,1.85714286
141,0.43137255,0.50086957,0.04347826,0.0,0.38888889,1.0,1.996e-05,0.23529412,11.0
142,0.6,0.65775401,0.22352941,0.0,0.54545455,1.0,0.0001034,0.4,1.73684211
143,0.58241758,0.64845606,0.14516129,0.07142857,0.42857143,1.0,7.698e-05,0.30769231,2.94444444
144,0.49019608,0.55482166,0.33628319,0.11111111,0.33333333,1.0,0.00025286,0.29411765,0.98684211
145,0.54166667,0.60200669,0.31216931,0.125,0.375,1.0,0.00022081,0.33333333,1.10169492
146,0.62222222,0.65957447,0.15151515,0.1,0.6,1.0,5.986e-05,0.33333333,2.8
147,0.47058824,0.57525773,0.09859155,0.0,0.64705882,1.0,4.932e-05,0.25,4.57142857
148,0.5,0.5449827,0.15,0.0,0.52941176,1.0,8.454e-05,0.3125,2.83333333
149,0.42380952,0.51824034,0.0273224,0.0,0.42857143,1.0,1.426e-05,0.25,17.8
150,0.5,0.61008403,0.08724832,0.0,0.58823529,1.0,4.579e-05,0.25,5.23076923
151,0.3956044,0.33333333,0.40495868,0.14285714,0.35714286,1.0,0.00020956,0.23076923,0.73469388
152,0.32380952,0.3483871,0.13924051,0.0,0.13333333,1.0,4.391e-05,0.14285714,3.09090909
153,0.36363636,0.47002725,0.02890173,0.0,0.59090909,1.0,1.361e-05,0.19047619,16.8
154,0.24064171,0.4028436,0.02173913,0.0,0.47058824,1.0,1.058e-05,0.12121212,22.5
155,0.58095238,0.60851927,0.18120805,0.0,0.6,1.0,0.00010778,0.35714286,2.25925926
156,0.58333333,0.59340659,0.31147541,0.11111111,0.33333333,1.0,0.00012636,0.375,1.10526316
157,0.45054945,0.34090909,0.344,0.0,0.5,1.0,0.0001839,0.30769231,0.95348837
158,0.57142857,0.6,0.07692308,0.0,0.14285714,1.0,1.71e-05,0.33333333,6.0
159,0.71111111,0.72192513,0.17948718,0.1,0.6,1.0,8.38e-05,0.44444444,2.28571429
160,0.4025974,0.51319958,0.01587302,0.0,0.5,1.0,8.17e-06,0.23809524,31.0
161,0.38095238,0.52631579,0.04761905,0.0,0.26666667,1.0,1.597e-05,0.21428571,10.0
162,0.8,0.78947368,0.4893617,0.5,0.0,1.0,0.0002294,0.6,0.52173913
163,0.42690058,0.51428571,0.01351351,0.0,0.42105263,1.0,6.3e-06,0.22222222,36.5
164,0.23172906,0.42085308,0.02985075,0.0,0.61764706,1.0,1.41e-05,0.12121212,16.25
165,0.31372549,0.51162791,0.11926606,0.0,0.27777778,1.0,4.325e-05,0.17647059,3.69230769
166,0.44852941,0.59737418,0.07575758,0.0,0.64705882,1.0,3.523e-05,0.25,6.1
